blockNumber,timestamp,transactionHash,from,to,toCreate,fromIsContract,toIsContract,value,gasLimit,gasPrice,gasUsed,callingFunction,isError,eip2718type,baseFeePerGas,maxFeePerGas,maxPriorityFeePerGas,blobHashes,blobBaseFeePerGas,blobGasUsed
20000000,1717281407,0xbb4b3fc2b746877dce70862850602f1d19bd890ab4db47e6b7ee1da1fe578a0d,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,None,0,1,1050180096,458541,4936957716,320979,0x091a4fc4,None,2,4936957716,4936957716,0,None,None,None
20000000,1717281407,0x541a536cd7ce7e9990876b7a49041f21590cd92251e699d9d924c0abbb2e98ba,0xea3ea09394f5e925ae7592dff1d675558d0831fd,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,None,0,1,20000000000000000,210402,4937927716,138188,0x3593564c,None,2,4936957716,6891583126,970000,None,None,None
20000000,1717281407,0x273962e00767d8989b4def781a4f89d0eb44f8d3a9bb95582aa4c51275571fbe,0x7c925c1286654d3b720a1293d8d0821d12ebe335,0xf3de3c0d654fda23dad170f0f320a92172509127,None,0,1,0,238021,7444075741,183267,0x9871efa4,None,2,4936957716,7444075741,7444075741,None,None,None
20000000,1717281407,0xb55cffb5003e6ce862bc49d241be3551f62a332e47291346681b30ea093a6ab8,0x889823b1163174a05a42128b69b4e80243b88d0e,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,None,0,1,300000000000000000,276670,4985457716,182417,0x3593564c,None,2,4936957716,7029810190,48500000,None,None,None
20000000,1717281407,0x98e455ecf0bfc642f3d9d66708ae36f2d469cdd0047505efbe37ef0ef96b4626,0x94dd5e55f9b4fcf9968f2102ed46ed2762f88211,0xe43ca1dee3f0fc1e2df73a0745674545f11a59f5,None,0,1,220000000000000000,210420,6000000000,118562,0x2646478b,None,2,4936957716,6000000000,2000000000,None,None,None
20000000,1717281407,0xfb295b3fa67ceb64c68f5fb48ca0f5aa88827e44022d49f2d5f07707965dbe14,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,None,0,1,1347361024,390157,30034164553,273110,0x7f3a5eaa,None,2,4936957716,30034164553,30034164553,None,None,None
20000000,1717281407,0x218193bd084562231ac3789c66d4393ba75fb63b9588ac75af4c83625ad45050,0x99b2c5d50086b02f83e791633c5660fbb8344653,0xf4f748d45e03a70a9473394b28c3c7b5572dfa82,None,0,1,0,2971671,7376957716,965157,0x36df7ea5,None,2,4936957716,12376957716,2440000000,None,None,None
20000000,1717281407,0x37d32f4d7ee6f2035a01acbf456cb857afd22da7e3a02f55e2aaed81bc327ad8,0x2aa08118a4967531fe759dcc7fde1a655037f293,0x5ddf30555ee9545c8982626b7e3b6f70e5c2635f,None,0,1,101000000000000000,370365,11936957716,140718,0x1d0a9fdf,None,2,4936957716,13248337108,7000000000,None,None,None
20000000,1717281407,0x79c7bf4139674b3feb1357630b44f73646a153ba8a284d0af315c899e8142659,0x54620b9a8a2c43aa8ed028450a7ce656a9c69feb,0xf114144993f279429ee8953837f0332c7ddbfb39,None,0,1,131809440455744336,153336,10184108001,113808,0x8801b362,None,2,4936957716,10184108001,5247150285,None,None,None
20000000,1717281407,0x8baee891afdb195824f497efa57c3204694913be67b5747a326a376f0a44b4d0,0xceaad947f68f5097d36e613ea182284f56725c1b,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,None,0,1,100000000000000000,261528,7936957716,148336,0x088890dc,None,2,4936957716,9248337109,3000000000,None,None,None
20000000,1717281407,0xbe83b7287a3977882f5abf77167a046f5f38c346077e5cf884f4449a8dbf81c0,0x11235534a66a33c366b84933d5202c841539d1c9,0x22ce84a7f86662b78e49c6ec9e51d60fdde7b70a,None,0,1,0,305781,7507492681,164042,0xec85c96e,None,0,4936957716,None,None,None,None,None
